"","Chrom","ID","n.assoc","START","END","Potra_Gene_ID","num_SNPs","Gene_Length","mean_alleleFreq","Functional_Description","Potri_Gene_ID","Percent_ID","Alignment_Length","Mismatches","Gap_Openings","Query_Start","Query_End","Subject_Start","Subject_End","Expected_Value","Bit_Score","AT_Gene_ID","Percent_ID.1","Alignment_Length.1","Mismatches.1","Gap_Openings.1","Query_Start.1","Query_End.1","Subject_Start.1","Subject_End.1","Expected_Value.1","Bit_Score.1","GO_ID","GO_Description"
"1","Potra000132","Potra000132:16291",2,22948,26233,"Potra000132g00445.1",5,3285,0.242,"RNA small subunit methyltransferase","Potri|006G040600.1",97.89,284,6,0,1,284,1,284,0,570,"Artha|AT3G57000",62.42,298,112,14,1,284,1,298,2e-133,383,"GO:0008168","methyltransferase activity"
"2","Potra000132","Potra000132:16291",2,25793,36526,"Potra000132g35379.1",6,10733,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Potra000132","Potra000132:16291",2,38400,42860,"Potra000132g00447.1",18,4460,0.184,"hydrolase domain-containing","Potri|006G040800.1",98.92,278,3,0,1,278,1,278,0,575,"Artha|AT2G41250",79.46,224,46,0,46,269,59,282,6e-128,369,"GO:0008152","metabolic process"
"4","Potra000132","Potra000132:16291",2,15448,17373,"Potra000132g00444.1",9,1925,0.134,"transporter C family","Potri|003G034700.1",62.25,249,94,3,1,249,585,830,8e-101,322,"Artha|AT3G21250",63.86,249,90,3,1,249,548,793,4e-105,334,"GO:0005524","ATP binding"
"5","Potra000132","Potra000132:16291",2,23167,36659,"Potra000132g00446.1",11,13492,0.194,"Kinesin-like protein","Potri|006G040700.1",97.99,1294,26,1,1,1293,1,1294,0,2583,"Artha|AT3G10180",59.65,1311,529,69,1,1285,1,1268,0,1457,"GO:0008017","microtubule binding"
"6","Potra000346","Potra000346:85488",2,32972,35691,"Potra000346g01221.1",25,2719,0.122,"1 alpha subcomplex subunit 6","Potri|001G029900.1",98.4,125,2,0,1,125,12,136,2e-89,259,"Artha|AT3G12260",64.23,123,44,1,3,125,12,133,2e-54,170,"NA ",""
"7","Potra000346","Potra000346:85488",2,61229,67365,"Potra000346g01224.1",8,6136,0.063,"arginine N-methyltransferase","Potri|001G030200.1",97.48,635,16,0,1,635,1,635,0,1294,"Artha|AT3G12270",57.66,633,268,66,23,634,14,601,0,692,"NA ",""
"8","Potra000346","Potra000346:85488",2,71683,78682,"Potra000346g01226.1",6,6999,0.198,"uncharacterized protein LOC105120118 isoform","Potri|001G030400.1",93.33,45,3,0,1,45,129,173,1e-22,88.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA ",""
"9","Potra000346","Potra000346:85488",2,91200,100430,"Potra000346g01228.1",1,9230,0.174,"polymerase I subunit","Potri|001G030700.1",99.36,467,3,0,1,467,1,467,0,966,"Artha|AT1G29940",71.31,467,134,4,1,467,420,882,0,715,"GO:0006351","transcription, DNA-templated"
"10","Potra000346","Potra000346:85488",2,119697,122403,"Potra000346g01231.1",1,2706,0.147,"H(+) antiporter","Potri|003G194200.1",97.11,691,20,0,1,691,1,691,0,1392,"Artha|AT1G79400",45.78,771,418,11,14,779,16,780,0,664,"GO:0055085","transmembrane transport"
"11","Potra000346","Potra000346:85488",2,177721,182538,"Potra000346g01235.1",11,4817,0.194,"Chaperone protein DnaJ","Potri|001G164700.1",96.2,79,3,0,1,79,1,79,5e-51,164,"Artha|AT3G14200",73.44,64,17,3,16,79,12,72,6e-27,100,"NA ",""
"12","Potra000346","Potra000346:85488",2,80088,86318,"Potra000346g01227.1",8,6230,0.125,"UDP-glycosyltransferase 91A1","Potri|001G030600.1",96.98,464,14,0,1,464,1,464,0,927,"Artha|AT2G22590",57.42,465,198,7,2,462,9,470,0,526,"GO:0008152","metabolic process"
"13","Potra000346","Potra000346:85488",2,40266,57596,"Potra000346g01223.1",6,17330,0.084,"uncharacterized protein LOC105108123","Potri|001G030100.1",98.1,1105,21,4,1,1105,1,1101,0,2212,"Artha|AT5G06970",73.05,1113,300,24,1,1103,1,1099,0,1561,"NA ",""
"14","Potra000346","Potra000346:85488",2,189618,191173,"Potra000346g01237.1",6,1555,0.08,"12.5 kDa protein","Potri|001G164800.1",90.72,97,9,7,1,97,1,90,7e-54,168,"Artha|AT1G54070",51.02,98,48,14,1,95,1,87,4e-20,81.3,"NA ",""
"15","Potra000346","Potra000346:85488",2,36204,39563,"Potra000346g01222.1",4,3359,0.211,"Peptidyl-prolyl cis-trans","Potri|001G030000.1",98.4,187,3,0,1,187,1,187,2e-136,383,"Artha|AT2G38730",86.56,186,25,0,2,187,14,199,6e-121,344,"GO:0000413","protein peptidyl-prolyl isomerization"
"16","Potra000346","Potra000346:85488",2,102307,108671,"Potra000346g01229.1",1,6364,0.047,"polymerase I subunit","Potri|001G030800.1",97.74,310,7,0,1,310,1,310,0,630,"Artha|AT1G29940",61.49,296,114,7,7,301,15,304,6e-125,388,"GO:0003677","DNA binding"
"17","Potra000346","Potra000346:85488",2,21057,30108,"Potra000346g01220.1",19,9051,0.089,"Transcription factor HBP-1b","Potri|001G029800.1",96.77,465,15,5,16,475,1,465,0,915,"Artha|AT3G12250",74.72,356,90,25,144,475,1,355,0,516,"GO:0043565","sequence-specific DNA binding"
"18","Potra000346","Potra000346:85488",2,110749,119224,"Potra000346g01230.1",8,8475,0.124,"ERI1 exoribonuclease 2","Potri|001G030900.1",96.09,409,16,0,1,409,1,409,0,822,"Artha|AT3G15140",28.92,204,145,24,131,320,124,317,2e-21,94,"GO:0008270","zinc ion binding"
"19","Potra000346","Potra000346:85488",2,182539,183394,"Potra000346g01236.1",5,855,0.182,"subfamily B member","Potri|001G164700.1",91.74,109,9,1,1,109,131,238,9e-53,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Potra000370","Potra000370:176312",2,156973,165320,"Potra000370g01548.1",12,8347,0.237,"GDSL esterase/lipase","Potri|010G047900.1",98.03,305,6,0,84,388,1,305,0,628,"Artha|AT3G26430",61.7,376,144,6,15,384,5,380,4e-178,504,"GO:0016788","hydrolase activity, acting on ester bonds"
"21","Potra000370","Potra000370:176312",2,57604,64137,"Potra000370g01537.1",8,6533,0.155,"and CUL4-associated factor","Potri|010G026800.1",98.95,474,5,1,1,473,1,474,0,965,"Artha|AT4G03020",70.79,469,137,3,1,466,17,485,0,676,"GO:0005515","protein binding"
